text,type
nbc,senior white house adviser jared kushner president son law leads inaugural meeting american technology council monday alphabet inc executive chairman eric schmidt center listens white house senior adviser jared kushner speaks opening session white house meeting technology chief executive officers mark technology week monday june indian treat room eisenhower executive office building white house complex washington president donald trump summoned technology team white house monday first meeting american technology council continuing delicate relationship administration silicon valley also chance jared kushner president son law senior adviser heading american technology council make rare public remarks tesla spacex ceo elon musk quit two trump advisory councils president paris climate decision
nbc,poke holes near bottom edge toilet paper roll using thumb tacks use stabilize speaker follow steps quick speaker pinch watch video carefully cut notch toilet paper roll marked width phone mark width phone outside toilet paper roll grab empty toilet paper roll
nbc,reports say senator mcconnell hopes healthcare vote july th recess written text guarantee republicans votes needed pass anything moreduration video duration momentjs
nbc,moreduration video duration momentjs stakes high expensive house race ever
nbc,find complaining someone try find reasons feel grateful person minor gripes try gratitude rubin said great way change emotions situation youre thinking someone done feel differently things would complaining rubin explained instance rubin said youre frustrated everyone always seems late staff meeting perhaps time meeting changed finally relent give good complaining session
nbc,thing thing president trump bragged good job building panama canal moreduration video duration momentjs yes one hundred years ago replied panamanian president
nbc,nicolle wallace bragging rights stake georgias special electionpolitical analyst nicolle wallace says georgias special election would symbolic victory democrats jon ossoff wins explains whats stake political party
nbc,public debate regarding whether washington name logo actually offends native americans bubbles time time ive personally chosen avoid using term deference native americans actually genuinely offended term posted mike florio june pm edtthe long winding road regarding whether washington lose federal trademark protection name logo isnt officially essentially u supreme court ruled case involving name band slants may offensive asian americans guarantee free speech first amendment overcomes governments supposed ability invalidate trademark rights potentially offensive grounds upsets people choose use
nbc,nerdwallet analysis mentioned studied overdraft fees late fees late payments result fees lower credit score time total u college students spend million year overdraft late payment fees u college students spend million year overdraft late payment fees overdraft late payment fees one protecting overdraft fees
nbc,carrie fisher cocaine methadone system autopsy showsthe star wars actress suffered appeared cardiac arrest airplane coroners report said fisher additionally tested positive cocaine methadone alcohol opiates
nbc,planets characterized nasa kepler mission yellow dots surveys split several different broad planet types according researchers kepler discovered percent planet candidates confirmed exoplanets ever found eighth kepler planet catalog includes new planet candidates less twice sized earth stars habitable zone editor note article updated p edt include details background nasa press conference researchers also revealed surprising divide small earth like planets mini neptunes gleaned data
nbc,related whats next fight puerto rico statehood doesnt would mean end statehood movement opening renewed focus possibilities independence united states congress rejects request statehood would mean statehood leaders said would turn independence add puerto ricos resident commissioner puerto rican congressional delegation statehood supporters first statehood movement since tied argument decolonization
nbc,outlines vets benefit new unified health recordsveterans affairs secretary david shulkin announces department adopt electronic health system department defense allowing seamless transfer information military enlistment veterans death
nbc,also asked health care bill alter veterans health care washington republicans preparing series votes next week plan overhaul nation health care system bernie sanders vt elizabeth warren mass using profiles publicly draw opposition health care bill including facebook live event monday afternoon gop bill yet public see even rank file republicans yet see text legislation republicans wont relent debate health care bill open american people see shouldnt expect business usual senate said schumer
nbc,watch days top stories analysis help wrap day
nbc,although new sanctuary coalition comprised multi faith institutions ragbir said roman catholic churches officially come board one open churches offering sanctuary nyc undocumented immigrants facing deportation wrote feel catholic church great work always told nbc latino im sure catholic church responsive individual actions although think pay attention said across country churches congregations rallied offer support undocumented immigrants facing deportation
nbc,ukrainian police provide protection annual gay pride march kiev ukraine capital june city embroiled gay rights row year hosted eurovision song contest slogan celebrate diversity kiev ukrainian politicians foreign diplomats joined thousands marching gay pride kiev sunday carrying banners waving rainbow ukrainian flags parade flanked thick cordon helmeted police ukrainian authorities increased support gay rights since pro western government took power following maidan protests relate hundreds thousands attend brazil massive pride paradebut critics say homophobic attitudes remain widespread
nbc,house veterans affairs committee chairman phil roe sponsor house measure said would support revisions congress difficulty coming agreement accountability bill phoenix va scandal christian petersen getty images filethe gop controlled house previously approved accountability bill mostly along party lines many veterans died waiting months appointments va employees created secret waiting lists falsehoods cover delays senate bill introduced thursday adopts several portions previous isakson bill including longer appeal process provided house bill days vs days though workers would paid appeal
nbc,jordan strauss ap carrie fisher daughter billie lourd released statement toxicology report revealed fisher cocaine heroin system time death fisher daughter actress billie lourd released statement people addressing findings monday toxicology report closed captioning apply reset x text displaybackgroundenhancements fonttimes new roman arial comic sanst sizecolor share link carrie fisher cause death released play video carrie fisher cause death released play video coroner office said could determine whether drugs contributed year old fisher death december saturday los angeles medical examiner initially listed sleep apnea undetermined factors cause fisher death share tweet pin emailcarrie fisher daughter spoken stigma drug addiction toxicology results revealed fisher cocaine heroin system time death last year
nbc,first syrian aircraft shot us militarysailors california connecticut killed cargo ship crashed side uss fitzgerald japan glaring question remains could happen us navy warship
nbc,international campaigner human rights watch reported cuban government long repressed dissent criticism gotten worse cuba country world trump allegedly cares human rights wrote michael mcfaul former u arbitrary arrests human rights defenders independent journalists others grown dramatically recent years says comes cuba massive systematic harm human rights comes blockade president trump proposes harden human rights watch warned however ordinary cubans people trump said move sought help would suffer result last weeks decision
nbc,white house press secretary sean spicer looking fill replacement according new politico report moreduration video duration momentjs morning joe panel discusses
nbc,first comments since may tiger woods said statement monday currently receiving professional help manage prescription medications monday woods wrote twitter im currently receiving professional help manage medications ways deal back pain sleep disorder may tigerwoods com woods wrote month since underwent fusion surgery back hard express much better feel alcohol involved woods said statement suffered unexpected reaction prescribed medications report june indicated woods told arresting officers taking xanax news comes three weeks woods charged driving influence found asleep wheel south florida
nbc,new report examines media influencing kidsa new report research nonprofit commonsense giving parents guidance keep gender stereotypes media much influence children nbcs joe fryer reports today
nbc,way amazon reversing strategy made big box retailers like walmart target players supermarket business portalatin pointed although percent people bought groceries online last month little half amazon prime members whole foods plus stores could one day mere grocery stores serving distribution hubs broader inventory amazon products happen whole foods stores really red flag retailers grocery witcher said
nbc,moreduration video duration momentjs john oliver among many noted almost never hear jared kushner speak public msnbc brian williams monday changed
nbc,steve thomashygienethough shouldnt sweat much filtered air ship youll need rethink personal hygiene standards youll need figure best way snuggle slightest nudge send flying clothes dont get dirty quickly space earth good need make last dont need pillow rest head virtually anywhere within spacecraft radiationastronauts international space station mostly protected space radiation earths magnetic field
nbc,dan gilbert consult lebron james prior parting david griffin sources said got us lebron james kingjames june lebron reportedly disappointed concerned decision james advocated griffin extension brian windhorst windhorstespn june lebron james came griffins defense maybe gilbert star struck maybe takes year television maybe team grabs consultant shall see
nbc,moreduration video duration momentjs democrats held senate floor late monday protest gop health care bill written behind closed doors sen tammy baldwin wi joins msnbc brian williams
nbc,related speedy delivery bots may change buying habitsjudging weve seen far conscious machines inherit human vulnerabilities fact thinks deliberately hold back building conscious machines avoid moral dilemmas poses youre building conscious systems work us would akin slavery schneider says beyond cool create robots researchers design cybernetic creatures theyre trying fix flaws machine learning systems although science fiction may us worried sentient robots really mindless robots need cautious
nbc,offhow president trump respond otto warmbiers death nbcs political analyst nicolle wallace discusses president donald trump might respond north korea following death otto warmbier
nbc,moscow condemned downing syrian jet dropped bombs near u backed syrian democratic forces fighting isis syria increasingly complicated civil war play facebooktwitterembed us war plane shoots syrian military jet autoplay autoplay copy code website blogescalating tensions region help anybody white house press secretary sean spicer said monday russia key ally syrian president bashar assad providing air cover government offensive since areas northern syria west euphrates controlled isis syrian government forces captured recent months forces aligned u campaign isis warned syrian government troops stop attacks face retaliation
nbc,stray voltage seeping lakes pools nearby electrical sources might even know today national investigative correspondent jeff rossen shows make sure pool safe electrical dangers story
nbc,hatch cut glass decanter crate barrelcrate barrel crate barrelcrate barrel crosshatched decanter elegant timeless addition home bar setup brown liquor loving pair chef n sweet spot ice cream maker sur la tablesur la tablethis compact ice cream maker perfect apartment dwellers sweet tooth passionate foodies sur la tablesur la table diy macaron kit sur la tablesur la tablewith heart shaped guides stenciled onto silicone mat plus variety decorating tips macaron making kit takes guess making notoriously tricky french cookies eppicotispai ravioli tortellini starter set sur la tablesur la tablethe eight piece pasta making set comes everything couple needs delicious date night home
nbc,american student otto warmbier speaks presented reporters pyongyang north korea february travel agency specializes north korea tours based central chinese city xi north korea accuses washington south korea sending spies overthrow government personally believe possible china step sanctions north korea china already tough considering facts tragic outcome longer organizing tours u citizens north korea
